,0
741,"Цени, если тебя называют братом, если по крови им не являешься! И никогда не променяй брата на девушку! Девушку новую ты можешь найти, а вот брата — нет!"
742,"На смерть, взирая равнодушно, на гибель за тебя пойду."
743,"Первым падает тот,кто на словах крут."
744,"Так приятно, что есть люди, которым ты нравишься, даже когда ведешь себя как дебил."
745,"Это невероятный стимул, когда вам говорят, что вы чего-то не можете."
746,"Имей ту девушку, о которой все мечтают, но не мечтай о той, которую все имеют."
747,"Без брата, как на войне без автомата!"
748,"-Будь проще и люди к тебе потянутся. -Я лучше останусь собой и посмотрю,кто со мной останется!"
749,"Раньше девочки учились готовить как мамы ,а сейчас бухают как папы."
750,"Жизнь всегда справедлива, просто иногда она проверяет на прочность."
751,"Дай Бог здоровья каждой маме, чьих детей я называю друзьями."
752,"Я никогда не обману того, кто мне искренне доверяет. Но я никогда не докажу правду тому, кто мне не верит…"
753,"Я буду лучшим, даже если я сказал тебе это хотя бы раз, И я пойду на все лишь бы не видеть слезы из твоих глаз…"
754,"Можно пересчитать по пальцам одной руки тех, кто, если что, подхватит."
755,Круче меня будет только мой сын.
756,"Самая лучшая дорога та, которая ведет домой.."
757,"Сильный человек – это не тот, кто побеждает слабого, а тот, кто помогает слабому стать сильным."
758,Самый веский аргумент для тех кто слов не понимает.
759,"С 1.02.12 статью УК РФ 228 хранение и распространение наркотиков, переименовали на педофилию и зоофилию. Удачи носящим шапки 228…"
760,"Злость — это состояние, в котором язык работает быстрее мозга. Будьте мудрее, думайте головой."
761,"У очень красивых женщин, мужья, как правило, преступники или спортсмены."
762,"Сейчас у тебя другая, но не забывай ту, которая научила тебя водить…"
763,Похуй — тоже чувство
764,"Бывает годами ищешь человека, и не замечаешь что тот кого ты искал находился всегда рядом…"
765,"В жопу таких друзей, которые вспоминают мой номер, когда им что-то нужно…"
766,"Настоящие друзья не соревнуются между собой и не завидуют, а помогают искренне, радуясь друг за друга"
767,"Мы хотим видеть всех девушек мира красивыми, здоровыми и счастливыми! А не обкуренными и бухими!"
768,Чтобы ты не делал — делай это уверенно. Не думая о том что скажут люди.
769,"Не надо говорить, что я плохой, просто найди лучше, чем я, и свали нахер."
770,"Нас мало, но сила не в толпе…"
771,"Люди еще больший яд, чем алкоголь или табак."
772,"Делайте все, чтобы ваш ребенок с гордостью говорил: «это мои родители» , и однажды вы со слезами счастья на глазах , произнесете: «это мой ребенок»."
773,"Ярость в глазах, доброта в душе, храбрость в сердце."
774,"Не думай, что было… Не гадай, что будет… Береги, что есть…"
775,"Если ты положил глаз на мою девушку, значит он у тебя лишний…"
776,Пришел пьяный на философию.
777,"Братан запомни, жизнь ломает сильнейших, ставя их на колени, чтобы доказать что они могут подняться. Слабаков же она не трогает… они и так всю жизнь на коленях"
778,"Когда дела совсем плохи, остаётся только смеяться."
779,Порой одиночество убивает.В такие моменты спасти может только братва!
780,"Спасибо тем друзьям,которые могут развеселить в трудную минуту, спасибо братьям за поддержку."
781,"Друзья — это люди, которые всю жизнь будут напоминать тебе о твоих косяках и угорать над ними."
782,"Хорошо, что есть время, расстояние и трудности."
783,"Порой, именно они дают понять, кто любит, кто дружит, а кто не так уж и нужен."
784,"Возвращать стоит только тех людей, которые ушли по нашей вине."
785,Хочу лето. Хочу ходить в шортах и в чичях. Хочу тепло. Хочу солнце. Хочу гулять.
786,"И пока ты будешь рядом, в моей жизни будет хоть какой-то порядок."
787,"Силён не тот, кто может себе много позволить, а кто может от многого отказаться."
788,"Jaguar — умные люди не пьют его, они на нем ездят.."
789,"И дай вам Бог вдвойне, чего желаете вы мне.."
790,"Все могут пить вино и водку, а ты попробуй выжать сотку!"
791,"Услышать от отца в кругу его друзей что он гордиться тобой, нет ничего счастливей!"
792,Первое правило — не сдаваться. Второе — драться до конца.
793,"Я всегда буду помнить мать,отца. Родной район. Моих братьев! что бы не случилось — они в моем сердце!"
794,"Девушки, не ждите принца на белом коне… Ждите распиздяя на чёрной Ладе!"
795,"В сексе, как и в автоспорте: главное не жалеть денег на хорошую импортную резину…"
796,Боль — это когда тебя предал лучший друг.
797,"Нахер мне психолог, дайте лучше автомат."
798,"Не станет волк в душе собакой, хоть в клетке век его держи. А злобный взгляд для твари всякой, для близких лишь тепло души…"
799,"Не надо подвигов Геракла, не надо денег, власти, чина. Не заставляйте женщин плакать, тогда вас будут звать мужчиной!"
800,"Пытаешься. Пытаешься.Делаешь что-то. Лишь спустя время понимаешь,что было все напрасно. Ей было похуй."
801,"Человека нельзя забыть, к нему можно начать по-другому относиться, а забыть, забыть нельзя…"
802,"Хватит ныть. Да, это жизнь. Каждый сам за себя. Или трахай или трахнут тебя."
803,"Как ни крути, но потери заставляют людей меняться.."
804,Большинство девушек ведутся на машины и деньги — это печально!
805,"Когда говоришь с человеком наедине, он кажется совсем другим."
806,"Считается, что в гостях хорошо, а дома лучше. А я считаю, у кого хата свободная, у того и лучше."
807,"Время не лечит. Лечат люди, которые рядом…"
808,"Сумей пережить ту минуту, когда кажется, что всё уже потеряно."
809,"Не важно, каким видом спорта ты занимаешься, главное — что ты им занимаешься!"
810,"Отец - тот кого нужно поздравлять, а не своих одноклассников или однокурсников…"
811,"Спасибо отец…За то, что дышу…"
812,Не называй братом каждого второго — ведь настоящий брат перегрызет глотку за родного.
813,"Главное не образ льва, а дух волка…"
814,"От встречи — до встречи, от взгляда — до взгляда, говорят, что время — лечит… Не, ребят, это не правда…"
815,"Не подавай виду если тебя что -то задело, просто улыбайся, молча делай выводы."
816,"Тот, кому есть что сказать, всегда молчит."
817,"Не важно, как ты выглядишь или сколько у тебя денег. Важно то, о чем ты думаешь и какие поступки совершаешь."
818,"Лучше разбитые кулаки на тренировке, чем лицо в драке."
819,"Людей легче сменить, чем изменить."
820,"Из мелкой шпаны которая устраивает движухи,вырастают серьезные авторитеты!"
821,"Лучшие друзья — это придурки, которые просто категорически не могут друг без друга."
822,"Люблю слушать песни, смысл в которых похож на мою жизнь…- пацанские статусы и цитаты"
823,"В мире есть двое слепых… Ты, – потому что не видишь, как сильно мне нужна; и я, потому что не вижу никого, кроме тебя."
824,"Я не гордый. Я могу написать, что без тебя мне скучно. Только боюсь, что тебе это ненужно…"
825,Для нас нет мусорского закона — мы пацаны с района.
826,"Всегда буду ценить тех людей, которые в трудный мне момент скажут «Братан, я с тобой»"
827,"Брат, знай! В драке за тебя пойдут твои пацаны, а не продажные бл*ди!"
828,"У каждого есть такой человек, которого придётся запомнить навсегда…"
829,"Она мне даже не жена, но перед нею я в ответе, всё потому что мне она — теперь дороже всех на свете…"
830,"Как приятно смотреть на девушек, от которых пахнет духами, красивая фигура, и милое личико, а не вчерашний перегар, складки на животе, и опухшее, заплывшее лицо!"
831,"Иногда так хочется влюбиться, по-настоящему, в настоящую…"
832,"Ты слишком сложная, но другая мне не нужна, я хочу быть с тобой, я хочу что бы ты была моя…- пацанские статусы и цитаты"
833,"Не дай вам Бог скучать по тем, кто никогда не скучал по вам."
834,"Жизнь коротка. И не каждому дано в ней быть счастливым,богатым или красивым.А смерть,братишка,-это единственное, что ожидает каждого…"
835,Мой девиз четыре слова — ЗА БРАТВУ ПОРВУ ЛЮБОГО!
836,"Прежде чем осуждать кого-то возьми его обувь и пройди его путь, попробуй его слезы, почувствуй его боли. Наткнись на каждый камень, о который он споткнулся. И только после этого говори, что ты знаешь- как правильно жить!"
837,"Чем сильнее мы любим девушку, тем меньше она любит нас."
838,"Портят людей ни сигареты, ни алкоголь и ни образ жизни — это всё мелочи по сравнению с тем, как портят людей люди.."
839,"Иногда полезно помолчать, чтобы тебя услышали… И исчезнуть, чтобы тебя заметили- пацанские статусы и цитаты"
840,"Ненавижу когда говорят: «Мне бы твои проблемы». Да тебе бы мои проблемы, ты бы уже мылом верёвку мазал."
841,"Если друзья мои станут врагами, и в суете продадут за пятак – я буду грызть эту землю зубами, я буду верить, что это не так!"
842,"Никогда не говори людям о своих бедах, большинство это вообще не интересует, а остальные довольны что они у тебя есть."
843,"Все хорошо. Земля вертится. Друзья звонят. И есть та, о которой хочется думать."
844,"Когда идёшь на уступки ради человека, который тебе дорог, и переступаешь через свои принципы, будь готов к тому, что этот человек переступит и через тебя, так как мало кто ценит подобное. Люди вообще мало что ценят: они всё воспринимают как должное."
845,"Дай Бог тем людям, кто сказал про меня плохое, столько здоровья, сколько правды было в их слова"
